GameID,Titles,YearReleased,Ranking,min_players,max_players,NumRatings,AvgRating,weighted_avg,#_of_awards,ExpansionFlag,#_of_expansion_sets,LicensedType,ClassicFlag,Category,boardgame_category
14844,Hey Froggy!,2012,14844,2,4,47,5.5596,6.0582,0,N,0,Original,Modern,Board,"['Animals', 'Racing']"
14845,OrgasMe!  Sex turned into a card game,2016,14845,2,6,44,5.5523,6.0664,0,Y,1,Original,Modern,Card,"['Card Game', 'Humor', 'Mature / Adult', 'Party Game']"
14846,Limite limite,2015,14846,3,10,55,5.5684,6.0356,0,N,0,Original,Modern,Card,"['Card Game', 'Humor', 'Mature / Adult', 'Party Game']"
14847,Last Battles  East Prussia,1994,14847,2,4,31,5.4452,6.0921,0,N,0,Original,Modern,Board,"['Wargame', 'World War II']"
14848,Keekee the Rocking Monkey,2005,14848,1,6,107,5.5136,5.8899,0,N,0,Original,Modern,Board,"['Action / Dexterity', 'Childrens Game', 'Puzzle']"
14849,Neuron,2010,14849,1,4,46,5.3630,5.9997,0,N,0,Original,Modern,Board,['Abstract Strategy']
14850,Kakuro Challenge,2006,14850,2,4,40,5.3050,6.0104,0,N,0,Original,Modern,Board,"['Abstract Strategy', 'Math', 'Puzzle']"
14851,Life's a Pitch,2009,14851,3,0,44,5.1182,5.9337,0,N,0,Original,Modern,Board,['Party Game']
14852,Kaiten Sushi,2010,14852,2,4,36,5.2694,6.0218,0,N,0,Original,Modern,Board,['Action / Dexterity']
14853,Jet World,1975,14853,2,4,34,5.4471,6.0781,0,N,0,Original,Modern,Board,"['Adventure', 'Aviation / Flight', 'Economic', 'Transportation', 'Travel']"
14854,Uno \/ 5 Alive,1990,14854,2,7,278,5.5273,5.7298,0,N,0,Original,Classic,Card,['Card Game']
14855,Halli Galli Junior,1998,14855,2,4,139,5.4507,5.8030,1,N,0,Original,Modern,Board,"['Action / Dexterity', 'Childrens Game', 'Party Game']"
14856,United Nations,1982,14856,2,4,47,5.3638,5.9956,0,N,0,Original,Modern,Board,"['Abstract Strategy', 'Negotiation']"
14857,Tribbles Customizable Card Game,2000,14857,2,4,162,5.5707,5.8462,0,N,0,Original,Modern,Card,"['Card Game', 'Collectible Components', 'Movies / TV / Radio theme', 'Science Fiction']"
14858,Monsta,2011,14858,3,5,56,5.4464,5.9888,0,N,0,Original,Modern,Card,['Card Game']
14859,Apples To Apples  Family,2010,14859,4,16,59,5.5254,6.0079,0,N,0,Original,Modern,Card,"['Card Game', 'Humor', 'Party Game', 'Word Game']"
14860,Say What!?!,2003,14860,2,20,96,5.4146,5.8625,0,N,0,Original,Modern,Card,"['Card Game', 'Word Game']"
14861,Ice Cream,2005,14861,3,5,251,5.4863,5.7160,1,N,0,Original,Modern,Board,"['Childrens Game', 'Economic']"
14862,Stratego Junior,1997,14862,2,2,75,5.4180,5.9178,0,N,0,Original,Modern,Dice,"['Abstract Strategy', 'Childrens Game', 'Dice', 'Memory']"
